Change Component Description : Designator=SW2 Old Description=触点电流:50mA;额定电压(DC):12V;绝缘电阻:100MΩ;电路结构:单刀单掷;安装方式:直插;按钮形状:圆形按钮;按钮/盖帽颜色:黑色;作用力:260gf@±30gf;工作温度:-25℃~+70℃;引脚? New Description=触点电流:50mA;额定电压(DC):12V;绝缘电阻:100MΩ;电路结构:单刀单掷;安装方式:直插;按钮形状:圆形按钮;按钮/盖帽颜色:黑色;作用力:260gf@±30gf;工作温度:-25℃~+70℃;引脚样式:PC引脚;开关长度:6mm;开关宽度:6mm;开关高度:6mm;带支架:否;
Change Component Description : Designator=SW3 Old Description=触点电流:50mA;额定电压(DC):12V;绝缘电阻:100MΩ;电路结构:单刀单掷;安装方式:直插;按钮形状:圆形按钮;按钮/盖帽颜色:黑色;作用力:260gf@±30gf;工作温度:-25℃~+70℃;引脚? New Description=触点电流:50mA;额定电压(DC):12V;绝缘电阻:100MΩ;电路结构:单刀单掷;安装方式:直插;按钮形状:圆形按钮;按钮/盖帽颜色:黑色;作用力:260gf@±30gf;工作温度:-25℃~+70℃;引脚样式:PC引脚;开关长度:6mm;开关宽度:6mm;开关高度:6mm;带支架:否;
Change Component Description : Designator=SW4 Old Description=触点电流:50mA;额定电压(DC):12V;绝缘电阻:100MΩ;电路结构:单刀单掷;安装方式:直插;按钮形状:圆形按钮;按钮/盖帽颜色:黑色;作用力:260gf@±30gf;工作温度:-25℃~+70℃;引脚? New Description=触点电流:50mA;额定电压(DC):12V;绝缘电阻:100MΩ;电路结构:单刀单掷;安装方式:直插;按钮形状:圆形按钮;按钮/盖帽颜色:黑色;作用力:260gf@±30gf;工作温度:-25℃~+70℃;引脚样式:PC引脚;开关长度:6mm;开关宽度:6mm;开关高度:6mm;带支架:否;
Change Component Description : Designator=SW5 Old Description=触点电流:50mA;额定电压(DC):12V;绝缘电阻:100MΩ;电路结构:单刀单掷;安装方式:直插;按钮形状:圆形按钮;按钮/盖帽颜色:黑色;作用力:260gf@±30gf;工作温度:-25℃~+70℃;引脚? New Description=触点电流:50mA;额定电压(DC):12V;绝缘电阻:100MΩ;电路结构:单刀单掷;安装方式:直插;按钮形状:圆形按钮;按钮/盖帽颜色:黑色;作用力:260gf@±30gf;工作温度:-25℃~+70℃;引脚样式:PC引脚;开关长度:6mm;开关宽度:6mm;开关高度:6mm;带支架:否;
Change component parameters: Designator = "U4"; Footprint = "LQFP-48_L7.0-W7.0-P0.50-LS9.0-BL"; UniqueID = "\AZFUOCUM"
Change component parameters (AddParameter): Name = "Operating Temperature"; Value = "-40℃~+125℃"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Relevance"; Value = "[]"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Reuse Block"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Slew Rate(SR)"; Value = "2.7V/us"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Footprint"; Value = "TSSOP-14"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SupplierPart"; Value = "C255429"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supply Voltage"; Value = "2.7V~5.5V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Symbol"; Value = "RS8554XQ"; VariantName = "[No Variations]"
Change component parameters: Designator = "Q4"; Footprint = "SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR"; UniqueID = "\FNVUPGFN"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "AddInBom"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Channel ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ConvertToPcb"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device"; Value = "AO3400A_N"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "FootprintName"; Value = "SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Group ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ModelId"; Value = "c62791f0466c4ae2a892c056b845b0ca"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ModelName"; Value = "SOT-23-3P_L2.9-W1.3-H1.0-LS2.4-P0.95"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ModelTransform"; Value = "98.425,114.173,0,180,0,0,0.0005,-0.0005,0"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Reuse Block"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Footprint"; Value = "SOT-23"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SupplierPart"; Value = "C700953"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Symbol"; Value = "N_MOS"; VariantName = "[No Variations]"
Change component parameters: Designator = "SW2"; Footprint = "SW-TH_4P-L6.0-W6.0-P4.50-LS6.5"; UniqueID = "\LGPPCXJB"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "AddInBom"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Channel ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ConvertToPcb"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device"; Value = "Key_TH_6x6x6"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "FootprintName"; Value = "SW-TH_4P-L6.0-W6.0-P4.50-LS6.5"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Group ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ModelId"; Value = "20eee248bc684ccd8cbdbb1d0d91ec6f"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ModelName"; Value = "SW-TH_4P-L6.0-W6.0-H5.0-LS6.5-P4.50"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ModelTransform"; Value = "236.22,323.03,0,90,0,0,0,0,-137.795"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Reuse Block"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Footprint"; Value = "插件"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SupplierPart"; Value = "C2837516"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Symbol"; Value = "轻触按键"; VariantName = "[No Variations]"
Change component parameters: Designator = "SW3"; Footprint = "SW-TH_4P-L6.0-W6.0-P4.50-LS6.5"; UniqueID = "\WGCALTLP"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "AddInBom"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Channel ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ConvertToPcb"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device"; Value = "Key_TH_6x6x6"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "FootprintName"; Value = "SW-TH_4P-L6.0-W6.0-P4.50-LS6.5"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Group ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ModelId"; Value = "20eee248bc684ccd8cbdbb1d0d91ec6f"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ModelName"; Value = "SW-TH_4P-L6.0-W6.0-H5.0-LS6.5-P4.50"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ModelTransform"; Value = "236.22,323.03,0,90,0,0,0,0,-137.795"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Reuse Block"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Footprint"; Value = "插件"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SupplierPart"; Value = "C2837516"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Symbol"; Value = "轻触按键"; VariantName = "[No Variations]"
Change component parameters: Designator = "SW4"; Footprint = "SW-TH_4P-L6.0-W6.0-P4.50-LS6.5"; UniqueID = "\LVMIEGIE"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "AddInBom"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Channel ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ConvertToPcb"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device"; Value = "Key_TH_6x6x6"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "FootprintName"; Value = "SW-TH_4P-L6.0-W6.0-P4.50-LS6.5"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Group ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ModelId"; Value = "20eee248bc684ccd8cbdbb1d0d91ec6f"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ModelName"; Value = "SW-TH_4P-L6.0-W6.0-H5.0-LS6.5-P4.50"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ModelTransform"; Value = "236.22,323.03,0,90,0,0,0,0,-137.795"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Reuse Block"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Footprint"; Value = "插件"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SupplierPart"; Value = "C2837516"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Symbol"; Value = "轻触按键"; VariantName = "[No Variations]"
Change component parameters: Designator = "SW5"; Footprint = "SW-TH_4P-L6.0-W6.0-P4.50-LS6.5"; UniqueID = "\GAVZZLXI"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "AddInBom"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Channel ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ConvertToPcb"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device"; Value = "Key_TH_6x6x6"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "FootprintName"; Value = "SW-TH_4P-L6.0-W6.0-P4.50-LS6.5"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Group ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ModelId"; Value = "20eee248bc684ccd8cbdbb1d0d91ec6f"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ModelName"; Value = "SW-TH_4P-L6.0-W6.0-H5.0-LS6.5-P4.50"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ModelTransform"; Value = "236.22,323.03,0,90,0,0,0,0,-137.795"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Reuse Block"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Footprint"; Value = "插件"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SupplierPart"; Value = "C2837516"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Symbol"; Value = "轻触按键"; VariantName = "[No Variations]"
Change component parameters: Designator = "D4"; Footprint = "SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR"; UniqueID = "\YHVDBWDW"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "AddInBom"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Average Rectified Current (Io)"; Value = "200mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Channel ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ConvertToPcb"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet"; Value = "https://atta.szlcsc.com/upload/public/pdf/source/20180326/C130910_AAC331EF45C4B7D7866DD336DA3C5D86.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device"; Value = "BAT54S,215"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Diode Configuration"; Value = "1对串联式"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "FootprintName"; Value = "SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Forward Voltage (Vf@If)"; Value = "800mV@100mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Group ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "JLCPCB Part Class"; Value = "扩展库"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LCSC Part Name"; Value = "电压:30V 电流:200mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Nexperia(安世)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part"; Value = "BAT54S,215"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ModelId"; Value = "89cb27a44ab2466697082bb9fd73a7d0"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ModelName"; Value = "SOT-23-3L_L2.9-W1.6-H1.1-LS2.8-P0.95"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ModelTransform"; Value = "110.59301,114.173,0,180,0,0,0,-0.0005,0"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Reuse Block"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Reverse Leakage Current (Ir)"; Value = "2uA@25V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Reverse Voltage (Vr)"; Value = "30V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Footprint"; Value = "SOT-23"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part"; Value = "C47546"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Symbol"; Value = "BAT54S,215"; VariantName = "[No Variations]"
Change component parameters: Designator = "D5"; Footprint = "SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR"; UniqueID = "\TJQAMMDT"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "AddInBom"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Average Rectified Current (Io)"; Value = "200mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Channel ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ConvertToPcb"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet"; Value = "https://atta.szlcsc.com/upload/public/pdf/source/20180326/C130910_AAC331EF45C4B7D7866DD336DA3C5D86.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device"; Value = "BAT54S,215"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Diode Configuration"; Value = "1对串联式"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "FootprintName"; Value = "SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Forward Voltage (Vf@If)"; Value = "800mV@100mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Group ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "JLCPCB Part Class"; Value = "扩展库"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LCSC Part Name"; Value = "电压:30V 电流:200mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Nexperia(安世)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part"; Value = "BAT54S,215"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ModelId"; Value = "89cb27a44ab2466697082bb9fd73a7d0"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ModelName"; Value = "SOT-23-3L_L2.9-W1.6-H1.1-LS2.8-P0.95"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ModelTransform"; Value = "110.59301,114.173,0,180,0,0,0,-0.0005,0"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Reuse Block"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Reverse Leakage Current (Ir)"; Value = "2uA@25V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Reverse Voltage (Vr)"; Value = "30V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Footprint"; Value = "SOT-23"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part"; Value = "C47546"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Symbol"; Value = "BAT54S,215"; VariantName = "[No Variations]"
Change component parameters: Designator = "L2"; Footprint = "L0603"; UniqueID = "\OQJNBHOH"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "AddInBom"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Channel ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Circuits"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ConvertToPcb"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current Rating"; Value = "300mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet"; Value = "https://atta.szlcsc.com/upload/public/pdf/source/20181120/C333978_3E581FB55966932B05020139ABDE8E01.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DC Resistance"; Value = "650mΩ"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device"; Value = "BLM15AG102SN1D"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "FootprintName"; Value = "L0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Group ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Impedance @ Frequency"; Value = "1kΩ@100MHz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "JLCPCB Part Class"; Value = "扩展库"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LCSC Part Name"; Value = "单路 0402磁珠 阻抗1kΩ@100MHz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "muRata(村田)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ManufacturerPart"; Value = "BLM15AG102SN1D"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ModelId"; Value = "d8d36575a3234d4790bfa765c88664a7"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ModelName"; Value = "L0402_L1.0-W0.5-H0.5_BEAD"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ModelTransform"; Value = "39.37,19.685,0,0,0,0,0,0.0005,0"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Reuse Block"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Footprint"; Value = "0402"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SupplierPart"; Value = "C76883"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Symbol"; Value = "BLM15AG102SN1D"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "±25%"; VariantName = "[No Variations]"
Change component parameters: Designator = "L6"; Footprint = "L0603"; UniqueID = "\KSTMOQHW"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "AddInBom"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Channel ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Circuits"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ConvertToPcb"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current Rating"; Value = "300mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet"; Value = "https://atta.szlcsc.com/upload/public/pdf/source/20181120/C333978_3E581FB55966932B05020139ABDE8E01.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DC Resistance"; Value = "650mΩ"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device"; Value = "BLM15AG102SN1D"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "FootprintName"; Value = "L0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Group ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Impedance @ Frequency"; Value = "1kΩ@100MHz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "JLCPCB Part Class"; Value = "扩展库"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LCSC Part Name"; Value = "单路 0402磁珠 阻抗1kΩ@100MHz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "muRata(村田)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ManufacturerPart"; Value = "BLM15AG102SN1D"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ModelId"; Value = "d8d36575a3234d4790bfa765c88664a7"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ModelName"; Value = "L0402_L1.0-W0.5-H0.5_BEAD"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ModelTransform"; Value = "39.37,19.685,0,0,0,0,0,0.0005,0"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Reuse Block"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Footprint"; Value = "0402"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SupplierPart"; Value = "C76883"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Symbol"; Value = "BLM15AG102SN1D"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "±25%"; VariantName = "[No Variations]"
Change component parameters: Designator = "L7"; Footprint = "L0603"; UniqueID = "\YFUTHGVU"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "AddInBom"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Channel ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Circuits"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ConvertToPcb"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current Rating"; Value = "300mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet"; Value = "https://atta.szlcsc.com/upload/public/pdf/source/20181120/C333978_3E581FB55966932B05020139ABDE8E01.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DC Resistance"; Value = "650mΩ"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device"; Value = "BLM15AG102SN1D"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "FootprintName"; Value = "L0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Group ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Impedance @ Frequency"; Value = "1kΩ@100MHz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "JLCPCB Part Class"; Value = "扩展库"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LCSC Part Name"; Value = "单路 0402磁珠 阻抗1kΩ@100MHz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "muRata(村田)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ManufacturerPart"; Value = "BLM15AG102SN1D"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ModelId"; Value = "d8d36575a3234d4790bfa765c88664a7"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ModelName"; Value = "L0402_L1.0-W0.5-H0.5_BEAD"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ModelTransform"; Value = "39.37,19.685,0,0,0,0,0,0.0005,0"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Reuse Block"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Footprint"; Value = "0402"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SupplierPart"; Value = "C76883"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Symbol"; Value = "BLM15AG102SN1D"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "±25%"; VariantName = "[No Variations]"
Change component parameters: Designator = "L9"; Footprint = "L0603"; UniqueID = "\DNIYVZWD"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "AddInBom"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Channel ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Circuits"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ConvertToPcb"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current Rating"; Value = "300mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet"; Value = "https://atta.szlcsc.com/upload/public/pdf/source/20181120/C333978_3E581FB55966932B05020139ABDE8E01.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DC Resistance"; Value = "650mΩ"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device"; Value = "BLM15AG102SN1D"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "FootprintName"; Value = "L0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Group ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Impedance @ Frequency"; Value = "1kΩ@100MHz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "JLCPCB Part Class"; Value = "扩展库"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LCSC Part Name"; Value = "单路 0402磁珠 阻抗1kΩ@100MHz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "muRata(村田)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ManufacturerPart"; Value = "BLM15AG102SN1D"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ModelId"; Value = "d8d36575a3234d4790bfa765c88664a7"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ModelName"; Value = "L0402_L1.0-W0.5-H0.5_BEAD"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ModelTransform"; Value = "39.37,19.685,0,0,0,0,0,0.0005,0"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Reuse Block"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Footprint"; Value = "0402"; VariantName = "[No Variations]"
